epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,1545.24,0.83604,0.99012,0.82524,0.93485,0.57622,0.75676,0.66888,0.50107,0.55104,0.7298,0.61036,0.44069,0.85324,1.34227,1.35418,0.96542,0.0009902,0.0009902,0.0009902
53,1572.01,0.78322,1.00287,0.79068,0.91351,0.57622,0.75676,0.66888,0.50107,0.55104,0.7298,0.61036,0.44069,0.85324,1.34227,1.35418,0.96542,0.0009704,0.0009704,0.0009704
54,1599.47,0.79295,0.96726,0.81617,0.90916,0.5867,0.78378,0.74458,0.5602,0.56647,0.75676,0.69831,0.50071,0.88628,1.40018,1.27587,0.9729,0.0009506,0.0009506,0.0009506
55,1627.49,0.78974,0.97059,0.81025,0.92117,0.85353,0.59459,0.7568,0.57718,0.95235,0.54021,0.71564,0.52269,0.87979,1.47307,1.28199,0.95532,0.0009308,0.0009308,0.0009308
56,1655.72,0.80357,1.01029,0.78096,0.90895,0.87936,0.64865,0.78868,0.61846,0.91134,0.62162,0.74636,0.55527,0.88608,1.50081,1.19438,0.94854,0.000911,0.000911,0.000911
57,1682.78,0.73673,0.92662,0.78419,0.89732,0.87936,0.64865,0.78868,0.61846,0.91134,0.62162,0.74636,0.55527,0.88608,1.50081,1.19438,0.94854,0.0008912,0.0008912,0.0008912
58,1709.61,0.77234,0.97526,0.81325,0.91258,0.89055,0.65997,0.78681,0.62974,0.88813,0.64384,0.74647,0.53964,0.84952,1.44918,1.1734,0.93373,0.0008714,0.0008714,0.0008714
59,1738.89,0.76165,1.12129,0.81053,0.92127,0.74406,0.64865,0.74582,0.5876,0.70504,0.62162,0.70179,0.51564,0.87264,1.36748,1.21076,0.94928,0.0008516,0.0008516,0.0008516
60,1766.42,0.76612,0.97369,0.79322,0.9003,0.78178,0.67784,0.77216,0.62126,0.75175,0.65489,0.72868,0.52871,0.85557,1.29354,1.23392,0.94279,0.0008318,0.0008318,0.0008318
61,1793.52,0.76403,0.92564,0.81801,0.92328,0.78178,0.67784,0.77216,0.62126,0.75175,0.65489,0.72868,0.52871,0.85557,1.29354,1.23392,0.94279,0.000812,0.000812,0.000812
62,1821.28,0.7171,0.92238,0.76025,0.8885,0.74242,0.78378,0.78965,0.61502,0.71567,0.75676,0.7447,0.53038,0.89537,1.24233,1.239,0.93836,0.0007922,0.0007922,0.0007922
63,1849.3,0.75485,0.94875,0.74759,0.88742,0.68256,0.75676,0.76586,0.60273,0.65819,0.72973,0.72732,0.50251,0.88249,1.2331,1.2163,0.93518,0.0007724,0.0007724,0.0007724
64,1877.08,0.71518,0.92883,0.71943,0.88057,0.75485,0.78378,0.78935,0.61815,0.77809,0.72973,0.75272,0.5205,0.82526,1.27545,1.11815,0.92185,0.0007526,0.0007526,0.0007526
65,1904.46,0.71935,0.98648,0.72134,0.88879,0.75485,0.78378,0.78935,0.61815,0.77809,0.72973,0.75272,0.5205,0.82526,1.27545,1.11815,0.92185,0.0007328,0.0007328,0.0007328
